id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.02,2014-03-29,0.31413984446709364,8.096856373403531,72.55495284461712,83.90200229632981,,,,7.610766425487865,34.378737146225,19.10310831277668,,,,0.0,1.2583057392117916,0.9574271077563381,1.2583057392117918,43.67125195022046,
AS14.02,2014-03-30,0.2559764700984225,9.028166353444638,20.821784638866777,91.64519977574798,,,,3.535361992439023,25.501865241212307,,,,,0.0,1.4142135623730951,0.5,1.4142135623730951,72.59492589672689,
AS14.02,2014-03-31,0.14767705165321618,9.249387206965634,42.31783732935668,81.21299804773565,,,,9.472584288355527,20.18866829778763,,,,,0.0,1.0954451150103321,0.8944271909999159,1.0954451150103321,52.80929571851377,0.0
AS14.02,2014-04-01,0.20730617628530973,12.967558292543078,29.245515879917626,15.75265611571585,,,,11.222705256656159,9.65797271493868,107.0459489951239,,,,0.0,1.0954451150103321,0.4472135954999579,0.5477225575051662,30.16908432818394,
AS14.02,2014-04-02,0.27239653644396444,11.42675939359705,49.30254666578047,45.58544990384429,,,,8.749031413057486,13.002957594272985,,,,,0.0,0.894427190999916,1.0954451150103321,1.5165750888103102,87.40662564084636,
AS14.02,2014-04-03,0.24115493925907533,15.614061229233776,40.38743790812714,74.05430331530472,,,,2.9261181281691275,12.15824742715824,25.472507887738676,,,,0.0,0.9574271077563382,0.816496580927726,1.2583057392117916,44.3949420294893,
AS14.02,2014-04-04,0.2249226771801693,16.751569058404904,50.611652392238284,21.083984830513735,,,,8.11076517557581,24.89200952112947,,,,,0.0,0.8366600265340756,1.0954451150103321,1.8165902124584952,37.11513559247633,
AS14.02,2014-04-05,0.2756867702891724,13.739584999048674,22.621721562746316,42.04140552327448,,,,10.725239437054208,20.293845813223996,37.39816979830029,,,,0.0,1.4142135623730951,0.894427190999916,1.3416407864998738,82.48465335122289,
AS14.02,2014-04-06,0.16485412290509174,10.600676827242136,34.641726744834585,124.37036731070629,,,,1.7661701267620478,31.941384748427218,,,,,0.0,0.0,0.5,1.0,39.78480563935203,
AS14.02,2014-04-07,0.12049087184020787,16.665361258123422,55.529406232910375,106.38395421185471,,,,8.4477672710999,37.530258863994405,,,,,0.0,0.7071067811865476,0.5477225575051661,0.44721359549995804,49.21109786968913,
AS14.02,2014-04-08,0.20495400460186533,11.487861510929969,36.93404768910413,48.432034230111235,,,,8.546855707737722,28.517177254188358,,,,,0.0,0.9574271077563381,0.5773502691896257,1.5,41.36972329720887,
AS14.02,2014-04-09,0.22322696840092504,12.79452937855949,41.58535487771482,35.82020795788599,,,,8.74487434443743,42.45692063263727,,,,,0.0,1.7320508075688772,0.5,0.5,63.89224081944445,
AS14.02,2014-04-10,0.27339325551795723,21.25436559186383,45.67120100147325,48.95779980347129,,,,18.995627423172945,22.984792913127546,110.38327162374337,,0.007778174593052108,,,0.5,0.5,0.9574271077563381,63.6836622462329,
AS14.02,2014-04-11,0.22027742539450165,12.687149081753926,41.44918902132158,43.35268642717775,,,,14.425151701108728,15.123439224079517,12.743710980850969,,,,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896258,67.50141530502925,
AS14.02,2014-04-12,0.22722416627158062,13.986943644924137,36.86315090471801,,,,,,46.44979834904202,20.56346275589688,,3.4365389565666207,,0.0,,,,45.27154007355277,
AS14.02,2014-04-13,0.23059569523306803,11.25508909658105,25.285067814683313,68.34881077821841,,,,19.462364560864643,7.893166796877749,4.822206509228639,,,,,1.140175425099138,0.8944271909999159,0.8366600265340756,35.24408086111138,
AS14.02,2014-04-14,0.16194754954306756,12.256481713757639,32.538738651716535,3.983138083552598,,,,1.0045647482035855,11.692527656584781,,,10.347593078961783,,0.0,0.9574271077563382,0.816496580927726,1.414213562373095,36.21560875629943,0.0
AS14.02,2014-04-15,0.19027690949332082,9.057930044826449,99.86251961583349,3.239114899680673,,,,,14.890254598226319,,,,,0.0,0.5773502691896257,1.0,0.957427107756338,101.95302317599962,
AS14.02,2014-04-16,0.39082255142504363,20.273345401043215,,,,,,,,,,,,0.0,0.5773502691896258,1.1547005383792517,1.5275252316519468,22.936859042418597,
AS14.02,2014-04-17,0.12087295404898252,,9.447690158622548,,,,,,,,,,,0.0,0.2886751345948129,0.7637626158259734,1.5,9.48292899387008,0.0
AS14.02,2014-04-18,,,,,,,,,,,,,,0.0,1.632993161855452,0.816496580927726,0.9999999999999999,,
AS14.02,2014-04-19,,,14.409575230843322,,,,,,,,,,,,0.5773502691896258,0.5773502691896258,0.5773502691896258,87.8495322217117,
AS14.02,2014-04-20,,,,,,,,,,,,,,0.0,0.5773502691896258,0.0,1.7320508075688772,,0.0
AS14.02,2014-04-21,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-04-22,0.10606601717798213,,,,,,,,50.56511189545614,,,,,0.0,0.5773502691896258,1.5275252316519465,1.1547005383792515,5.037428591836174,0.0
AS14.02,2014-04-23,,,,,,,,,,,,,,0.0,1.4142135623730951,2.1213203435596424,3.5355339059327378,,
AS14.02,2014-04-24,,,,,,,,,,,,,,,0.7071067811865476,0.7071067811865476,0.0,,
AS14.02,2014-04-25,,,,,,,,,,,,,,,,,,,
AS14.03,2014-02-17,,,,,,,,,,,,,,,,,,,
AS14.03,2014-02-18,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-02-19,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-02-20,,,,,,,,,,,,,,,,,,,
AS14.03,2014-02-21,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.03,2014-02-22,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.03,2014-02-23,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-02-24,,,,,,,,,,,,,,,,,,,
AS14.03,2014-02-26,,,,,,,,,,,,,,,,,,,
AS14.03,2014-02-27,,,,,,,,,,,,,,,,,,,
AS14.03,2014-02-28,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-01,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.03,2014-03-02,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-03,,,,,,,,,,,,,,,,,,,
AS14.03,2014-03-05,,,,,,,,,,,,,,,,,,,
AS14.03,2014-03-07,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-08,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.03,2014-03-09,,,,,,,,,,,,,,,,,,,0.0
AS14.03,2014-03-10,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-11,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-13,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-14,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-15,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-16,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-17,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.03,2014-03-18,,,,,,,,,,,,,,,,,,,
AS14.03,2014-03-19,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.03,2014-03-20,,,,,,,,,,,,,,0.0,,,,,
AS14.03,2014-03-21,,30.33448628571418,30.891409022734948,76.50531196718663,,,,23.256006861476145,,,,,,0.0,0.0,0.0,0.0,46.411135332280836,0.0
AS14.03,2014-03-22,0.2013412662503876,23.755641054514278,21.651897675859942,65.16458958568533,,,,6.226507421232763,,18.609819696677803,,,,0.0,1.6431676725154984,0.7071067811865476,0.8366600265340756,86.65217175023862,
AS14.03,2014-03-23,0.14173949817114764,17.038609886098104,24.884172133653443,78.89920594394417,,,47.055030411211085,21.20743018839938,,30.137043441763065,,,,,1.6431676725154984,1.3038404810405297,1.3038404810405297,115.90956874226116,
AS14.03,2014-03-24,0.1933180610623169,18.822129936150514,72.8560965840247,57.22106384413135,7.840789035549931,,24.61979591710703,34.240276485449115,,,,,,0.0,1.140175425099138,0.5477225575051662,0.8366600265340756,106.8432438983316,
AS14.03,2014-03-25,0.1880055434245767,17.983079743522936,23.263689468947653,40.237469086100205,69.01362184380703,,13.58864294515494,35.01024611453053,,,,9.953942158763029,,0.0,1.140175425099138,0.4472135954999579,0.8366600265340757,47.7044434588923,
AS14.03,2014-03-26,0.1399219250800103,5.063165625896822,23.365494543790646,63.62494663067921,31.42158856582525,,7.927645993609957,6.662485582938033,,6.621347899030831,3.1671312729345464,,,,0.5773502691896257,0.816496580927726,0.5,84.88998545279638,
